Employee_ID,Age,Gender,Country,Work_Stress_Level,Hours_Worked_Per_Week,Remote_Work,Family_History,Mental_Health_Awareness,Supervisor_Support,Work_Life_Balance,Physical_Activity,sought_treatment,Role,Job_Satisfaction
EMP149,44,Male,USA,Medium,51,Yes,No,High,Medium,Good,High,Yes,Data Analyst,Medium
EMP150,45,Female,Canada,Medium,52,Yes,Yes,Low,Low,Excellent,Moderate,No,Project Manager,Medium
EMP151,26,Male,India,Low,53,No,Yes,Low,Low,Excellent,Moderate,No,QA Tester,Medium
EMP152,24,Female,Germany,Low,51,No,Yes,Low,High,Excellent,High,No,DevOps Engineer,Medium
EMP153,33,Male,Germany,High,48,No,Yes,Low,Low,Excellent,Low,Yes,QA Tester,Low
EMP154,29,Male,USA,Low,43,Yes,Yes,High,Low,Excellent,Low,Yes,Data Analyst,High
EMP155,43,Male,India,Medium,42,No,Yes,High,High,Excellent,Moderate,Yes,Software Engineer,High
EMP156,48,Female,USA,Low,36,Yes,No,Medium,Medium,Excellent,Low,No,Software Engineer,Medium
EMP157,24,Male,UK,Medium,47,Yes,No,High,Low,Good,High,No,QA Tester,Low
EMP158,22,Male,USA,Medium,59,Yes,No,Low,High,Poor,High,Yes,UI/UX Designer,High
EMP159,24,Female,USA,Low,41,Yes,Yes,Medium,Low,Poor,Moderate,Yes,DevOps Engineer,High
EMP160,26,Male,Germany,Medium,43,No,No,Medium,Low,Good,High,No,DevOps Engineer,High
EMP161,36,Female,Germany,Low,56,No,Yes,Medium,Medium,Good,High,No,Software Engineer,Medium
EMP162,35,Female,Germany,Low,56,Yes,Yes,Low,Low,Good,Moderate,Yes,Technical Support,Medium
EMP163,24,Male,UK,High,45,No,No,High,High,Good,High,No,Project Manager,Low
EMP164,22,Female,Germany,Medium,48,Yes,Yes,Low,Low,Excellent,High,No,Technical Support,Low
EMP165,26,Male,India,High,38,No,Yes,Medium,Medium,Poor,High,Yes,Data Analyst,High
EMP166,47,Female,Canada,Low,60,No,No,Low,Medium,Excellent,Low,No,Project Manager,High
EMP167,44,Female,India,High,60,Yes,No,Low,High,Poor,Moderate,Yes,Project Manager,Medium
EMP168,35,Male,India,High,63,No,No,High,Medium,Poor,Moderate,Yes,QA Tester,High
EMP169,28,Female,Germany,Medium,47,Yes,Yes,High,Low,Good,Moderate,Yes,Software Engineer,Medium
EMP170,48,Female,Canada,Medium,36,No,No,Medium,Medium,Excellent,Low,No,Technical Support,Medium
EMP171,30,Female,Canada,Medium,57,Yes,No,Low,High,Good,Low,Yes,Technical Support,Medium
EMP172,36,Female,Canada,Medium,39,Yes,Yes,Low,Medium,Excellent,Moderate,No,Software Engineer,High
EMP173,36,Female,UK,High,45,No,No,High,Medium,Poor,Low,Yes,Technical Support,Low
EMP174,47,Male,Germany,High,40,No,No,Low,Medium,Good,Moderate,Yes,Software Engineer,High
EMP175,31,Female,Canada,High,52,Yes,No,Low,High,Good,Low,No,QA Tester,High
EMP176,49,Male,UK,Low,55,No,Yes,Low,Medium,Poor,High,Yes,UI/UX Designer,Low
EMP177,34,Female,USA,High,44,No,Yes,High,Medium,Poor,High,Yes,Project Manager,Medium
EMP178,40,Male,USA,High,38,Yes,Yes,Medium,Low,Poor,Moderate,Yes,QA Tester,High
EMP179,28,Male,UK,Low,43,Yes,Yes,Medium,High,Good,Low,No,DevOps Engineer,Medium
EMP180,38,Female,UK,Low,40,No,No,Low,Medium,Excellent,Low,No,Data Analyst,High
EMP181,41,Female,Germany,High,36,Yes,Yes,Medium,High,Good,High,Yes,UI/UX Designer,High
EMP182,25,Female,Germany,Medium,51,Yes,Yes,High,Medium,Excellent,High,No,DevOps Engineer,Medium
EMP183,26,Male,USA,High,39,Yes,No,High,Medium,Good,Low,No,Project Manager,Medium
EMP184,44,Female,Canada,Low,59,No,No,Medium,Medium,Good,Low,No,Technical Support,High
EMP185,28,Male,USA,High,40,No,No,Medium,Low,Poor,Low,Yes,Software Engineer,Medium
EMP186,34,Male,Canada,Low,60,Yes,Yes,Low,Low,Excellent,Low,No,Project Manager,Low
EMP187,36,Male,Canada,Low,46,No,Yes,Medium,Low,Good,Low,No,QA Tester,Low
EMP188,32,Female,Germany,Low,57,Yes,Yes,Low,High,Good,Low,No,Data Analyst,Medium
EMP189,25,Female,India,High,55,No,No,Low,High,Poor,Moderate,Yes,QA Tester,High
EMP190,34,Male,India,High,44,Yes,No,High,Low,Poor,Low,Yes,UI/UX Designer,High
EMP191,28,Male,UK,Medium,56,Yes,Yes,High,High,Excellent,High,No,UI/UX Designer,Medium
EMP192,48,Female,Germany,Medium,55,No,No,High,Medium,Good,Moderate,No,Data Analyst,Low
EMP193,40,Male,Canada,High,61,Yes,No,High,Medium,Excellent,Low,No,DevOps Engineer,Medium
EMP194,43,Female,India,Medium,59,No,No,Medium,Medium,Good,High,No,DevOps Engineer,High
EMP195,49,Male,Canada,High,40,No,Yes,High,Low,Excellent,Moderate,Yes,UI/UX Designer,Low
EMP196,23,Female,India,Medium,61,Yes,No,Medium,High,Poor,High,Yes,UI/UX Designer,Medium
EMP197,31,Male,India,Medium,42,Yes,No,High,Low,Good,Low,Yes,Technical Support,Low
EMP198,34,Female,India,Medium,36,No,Yes,Medium,High,Excellent,Low,Yes,Software Engineer,Medium
EMP199,46,Male,Germany,Medium,46,Yes,Yes,Low,Medium,Poor,Low,Yes,Technical Support,High
EMP200,42,Female,USA,High,47,Yes,No,Medium,Low,Poor,Low,Yes,Technical Support,Medium
EMP201,27,Female,Canada,Medium,59,Yes,No,Medium,High,Excellent,Moderate,No,DevOps Engineer,Medium
EMP202,49,Male,Germany,Low,55,Yes,Yes,High,High,Good,Moderate,Yes,Data Analyst,Medium
EMP203,49,Male,Germany,High,41,Yes,Yes,Medium,Medium,Good,High,Yes,DevOps Engineer,High
EMP204,33,Female,Germany,Medium,44,No,No,Low,Low,Poor,Low,Yes,Software Engineer,Low
EMP205,33,Male,Germany,Medium,47,No,No,Low,Low,Good,High,No,QA Tester,Medium
EMP206,41,Female,Germany,High,51,Yes,No,High,Low,Good,Moderate,Yes,UI/UX Designer,Medium
EMP207,32,Male,UK,High,60,Yes,No,Low,Medium,Good,Low,No,UI/UX Designer,High
EMP208,47,Female,Canada,Low,55,Yes,Yes,Medium,Low,Poor,Low,Yes,Software Engineer,Medium
EMP209,44,Female,Germany,High,62,No,No,Low,Medium,Excellent,Moderate,No,Technical Support,Low
EMP210,49,Female,Canada,High,64,Yes,No,High,Medium,Good,Moderate,Yes,Data Analyst,Medium
EMP211,46,Female,UK,Medium,60,No,Yes,Medium,Medium,Poor,Moderate,Yes,UI/UX Designer,High
EMP212,28,Female,UK,Low,48,No,No,High,High,Poor,Moderate,Yes,Project Manager,Low
EMP213,22,Female,Canada,High,36,No,Yes,Medium,Low,Excellent,Moderate,Yes,Technical Support,High
EMP214,22,Male,India,High,62,Yes,No,Low,Low,Good,Low,Yes,UI/UX Designer,Low
EMP215,46,Male,USA,Medium,56,No,No,High,Medium,Good,Moderate,No,Project Manager,Medium
EMP216,48,Male,India,High,45,Yes,Yes,High,Medium,Excellent,Low,Yes,Software Engineer,Medium
EMP217,46,Female,India,High,35,No,Yes,Medium,Low,Excellent,Low,Yes,Software Engineer,High
EMP218,41,Female,India,Low,53,Yes,No,High,Medium,Poor,Moderate,Yes,Technical Support,Medium
EMP219,34,Female,Germany,Medium,55,No,No,Medium,Low,Poor,Moderate,Yes,UI/UX Designer,High
EMP220,30,Female,UK,Low,38,Yes,No,Medium,High,Excellent,Low,No,DevOps Engineer,High
EMP221,24,Male,India,High,53,No,Yes,Medium,Medium,Good,Moderate,Yes,Project Manager,Medium
EMP222,28,Male,UK,Low,60,Yes,No,Medium,Low,Poor,Moderate,Yes,Data Analyst,High
EMP223,27,Female,Canada,Medium,63,Yes,Yes,Low,Medium,Poor,Moderate,Yes,UI/UX Designer,High
EMP224,29,Male,USA,High,55,Yes,Yes,Medium,Low,Good,High,Yes,Data Analyst,Low
EMP225,48,Male,Canada,High,45,Yes,No,High,Low,Poor,Low,Yes,UI/UX Designer,Medium
EMP226,30,Female,Canada,Medium,42,No,Yes,Low,Medium,Good,High,No,DevOps Engineer,High
EMP227,26,Male,Germany,High,45,No,No,High,High,Good,Moderate,Yes,DevOps Engineer,Low
EMP228,22,Female,USA,Low,38,Yes,No,Low,Low,Good,High,No,Technical Support,High
EMP229,40,Male,Canada,High,51,No,No,Medium,Low,Excellent,Moderate,Yes,Technical Support,High
EMP230,31,Female,Canada,Low,61,Yes,No,Low,Low,Excellent,High,No,DevOps Engineer,Low
EMP231,33,Female,USA,Medium,41,Yes,No,Low,High,Excellent,Moderate,No,QA Tester,Medium
EMP232,45,Female,USA,High,42,No,Yes,High,High,Good,High,Yes,DevOps Engineer,Medium
EMP233,36,Female,Canada,Low,37,Yes,Yes,High,Medium,Good,High,No,Software Engineer,Medium
EMP234,48,Male,USA,Low,56,Yes,No,Medium,High,Excellent,High,No,Software Engineer,Low
EMP235,43,Female,Canada,High,36,No,No,Low,Medium,Poor,Low,Yes,QA Tester,Low
EMP236,45,Female,Canada,High,57,Yes,Yes,Low,Medium,Good,High,Yes,Project Manager,Medium
EMP237,30,Female,Germany,High,49,Yes,Yes,Low,High,Poor,Low,Yes,Data Analyst,High
EMP238,41,Male,India,High,58,Yes,Yes,Medium,Medium,Poor,Moderate,Yes,UI/UX Designer,High
EMP239,38,Female,Canada,Medium,56,Yes,Yes,Medium,High,Good,High,No,UI/UX Designer,Medium
EMP240,38,Male,UK,Low,56,No,No,Medium,Medium,Good,Moderate,No,QA Tester,Low
EMP241,47,Female,India,Medium,39,No,No,Medium,High,Poor,Moderate,Yes,Software Engineer,Medium
EMP242,41,Male,India,Low,58,No,Yes,Medium,High,Poor,High,Yes,Technical Support,Medium
EMP243,33,Male,India,High,35,Yes,No,High,Medium,Excellent,Low,No,UI/UX Designer,High
EMP244,28,Female,Germany,Medium,60,Yes,Yes,Low,Low,Excellent,High,No,Software Engineer,High
EMP245,23,Male,Canada,Medium,38,No,No,Low,Medium,Good,Moderate,No,Project Manager,High
EMP246,24,Female,Germany,Medium,49,Yes,Yes,Low,High,Excellent,Moderate,No,Data Analyst,High
EMP247,38,Female,Canada,High,54,Yes,No,Low,Low,Excellent,High,Yes,Project Manager,Low
EMP248,26,Female,Germany,Low,53,Yes,Yes,Low,Medium,Excellent,Low,No,QA Tester,High
EMP249,38,Male,Germany,Medium,37,Yes,Yes,Low,Medium,Excellent,Low,No,DevOps Engineer,Medium
EMP250,45,Male,UK,Medium,54,No,No,Low,Medium,Poor,Moderate,Yes,DevOps Engineer,High
EMP251,38,Female,Germany,High,45,No,Yes,Low,Low,Good,Moderate,Yes,DevOps Engineer,Medium
EMP252,48,Female,USA,Low,51,No,No,High,High,Excellent,Low,No,Project Manager,High
EMP253,38,Male,UK,High,64,Yes,No,Low,Medium,Poor,High,Yes,UI/UX Designer,High
EMP254,23,Female,Germany,High,61,No,Yes,High,Medium,Poor,Moderate,Yes,Data Analyst,Low
EMP255,23,Female,India,Medium,47,No,No,Medium,Medium,Poor,Low,Yes,DevOps Engineer,Medium
EMP256,49,Female,USA,High,45,Yes,No,Low,Medium,Excellent,Moderate,No,QA Tester,High
EMP257,43,Male,USA,High,36,Yes,No,Medium,Medium,Excellent,High,No,QA Tester,Medium
EMP258,44,Male,USA,High,43,No,No,Medium,High,Good,Low,No,DevOps Engineer,Medium
EMP259,26,Male,UK,Low,60,No,No,Medium,High,Excellent,Moderate,No,DevOps Engineer,Medium
EMP260,22,Female,Germany,Medium,36,No,Yes,High,Medium,Excellent,High,No,Data Analyst,Low
EMP261,22,Female,Germany,High,55,No,No,Medium,Low,Poor,Moderate,Yes,DevOps Engineer,High
EMP262,40,Female,India,Medium,43,Yes,No,Medium,High,Good,High,Yes,Data Analyst,Medium
EMP263,23,Male,India,High,43,No,No,Medium,Low,Excellent,High,Yes,QA Tester,Low
EMP264,42,Female,USA,High,42,No,No,Low,High,Excellent,Low,No,DevOps Engineer,Medium
EMP265,33,Female,India,High,51,Yes,No,Low,Medium,Poor,High,Yes,Project Manager,Medium
EMP266,47,Female,UK,Medium,35,No,Yes,High,High,Poor,Moderate,Yes,Technical Support,Low
EMP267,27,Female,Germany,Low,59,Yes,No,High,Medium,Excellent,High,Yes,Project Manager,Medium
EMP268,44,Male,USA,High,63,Yes,Yes,Low,High,Good,High,Yes,QA Tester,Medium
EMP269,25,Male,India,High,45,Yes,Yes,High,Medium,Good,Low,Yes,Data Analyst,Medium
EMP270,44,Female,UK,Low,42,No,Yes,Low,Medium,Poor,High,Yes,Project Manager,High
EMP271,32,Male,UK,High,44,No,Yes,Medium,Medium,Poor,High,Yes,Data Analyst,Medium
EMP272,45,Male,India,High,59,Yes,No,Medium,Medium,Excellent,Moderate,No,Project Manager,Medium
EMP273,48,Female,Germany,Medium,41,No,Yes,High,Low,Poor,Low,Yes,Project Manager,Medium
EMP274,38,Female,India,Medium,37,No,Yes,Low,Medium,Excellent,Low,Yes,Data Analyst,Medium
EMP275,27,Male,USA,Medium,37,Yes,No,Low,Low,Good,Low,No,UI/UX Designer,Medium
EMP276,45,Female,India,Low,52,Yes,No,High,Low,Good,High,Yes,Project Manager,Medium
EMP277,26,Male,UK,Medium,39,No,No,Low,Medium,Excellent,Low,No,DevOps Engineer,High
EMP278,41,Female,India,High,46,Yes,Yes,Medium,Low,Poor,High,Yes,Technical Support,Medium
EMP279,23,Male,Germany,Low,46,No,No,High,High,Good,High,No,QA Tester,Medium
EMP280,27,Female,Canada,Medium,53,No,No,High,Medium,Poor,Moderate,Yes,UI/UX Designer,High
EMP281,43,Male,India,Medium,64,No,Yes,Low,Low,Good,Moderate,Yes,Data Analyst,Medium
EMP282,32,Male,Germany,Medium,40,No,No,High,Medium,Excellent,Moderate,No,UI/UX Designer,Medium
EMP283,37,Male,Germany,High,36,Yes,No,Low,Medium,Excellent,Moderate,Yes,Software Engineer,Medium
EMP284,37,Female,UK,Medium,46,Yes,No,Low,Medium,Excellent,Moderate,Yes,Software Engineer,Low
EMP285,22,Male,Germany,Medium,53,Yes,No,Low,Low,Good,High,No,Project Manager,High
EMP286,30,Male,Germany,High,39,Yes,Yes,Low,High,Poor,High,Yes,Project Manager,High
EMP287,49,Female,Germany,Medium,46,No,No,Low,High,Poor,Low,Yes,DevOps Engineer,High
EMP288,48,Female,Germany,Low,61,No,No,High,Low,Poor,High,Yes,Technical Support,Medium
EMP289,27,Male,USA,Medium,61,Yes,Yes,Medium,Medium,Good,High,No,QA Tester,Medium
EMP290,37,Male,USA,Low,51,No,No,Medium,Low,Good,Moderate,No,UI/UX Designer,Low
EMP291,24,Female,UK,Low,63,No,Yes,High,Low,Good,High,No,Software Engineer,Medium
EMP292,41,Female,India,Medium,51,No,No,High,Low,Good,Moderate,No,Project Manager,Medium
EMP293,49,Female,Germany,Medium,44,Yes,Yes,Medium,Medium,Good,Low,Yes,QA Tester,High
EMP294,48,Female,India,High,59,Yes,Yes,Medium,Low,Poor,Low,Yes,UI/UX Designer,Medium
EMP295,25,Female,India,Medium,57,Yes,Yes,Medium,Medium,Good,High,No,Project Manager,Medium
EMP296,40,Male,UK,Medium,51,No,Yes,Medium,Low,Good,Low,No,Project Manager,Medium
EMP297,47,Female,Germany,High,49,Yes,No,Medium,High,Poor,High,Yes,Software Engineer,Medium
EMP298,24,Male,Germany,Low,46,Yes,Yes,Low,Low,Good,Low,No,Software Engineer,Medium
EMP299,40,Male,Canada,High,64,Yes,No,High,Low,Poor,Moderate,Yes,Project Manager,High
EMP300,41,Male,India,Low,50,Yes,Yes,Low,High,Poor,Moderate,Yes,Data Analyst,Medium
